Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	104	10	12	12	14	12	12	16	12	12	13	13	13
(null)	105	8	7	6	7	6	9	8	8	8	10	15	56
(null)	106	12	12	12	12	13	12	12	12	11	15	11	14
(null)	107	12	10	12	12	12	14	13	13	13	12	12	12
(null)	108	9	12	12	13	13	10	10	14	12	14	14	14
(null)	109	5	4	5	4	4	4	4	38	66	3	5	5
(null)	110	10	10	12	10	9	10	13	13	10	12	13	24
(null)	111	12	12	12	12	11	13	12	13	12	12	12	12
(null)	112	12	10	12	10	10	14	12	12	13	14	13	13
(null)	113	11	13	12	11	12	12	12	16	14	10	9	11
(null)	114	13	11	10	11	11	13	9	18	17	10	10	10
(null)	115	23	16	15	20	12	12	9	9	7	4	10	5
(null)	116	8	5	7	4	5	5	12	26	19	11	19	15
(null)	117	9	10	10	9	11	14	19	11	8	10	14	10
(null)	118	17	7	9	10	10	11	8	12	17	13	11	10
(null)	119	4	4	6	12	4	16	24	37	4	8	6	9
(null)	120	8	8	11	8	7	9	9	21	22	14	8	8
(null)	121	14	10	11	11	11	11	10	11	11	11	10	11
(null)	122	4	4	9	9	4	9	19	18	10	15	11	17
(null)	123	9	10	12	11	9	10	10	11	10	11	12	11
(null)	124	11	11	10	11	9	10	9	11	12	11	8	13
(null)	125	2	3	3	12	2	7	30	29	7	23	4	4
(null)	126	9	10	10	10	10	10	12	10	11	12	10	12
(null)	127	32	17	24	21	7	18	4	0	0	0	0	0
(null)	128	12	11	10	10	10	8	10	10	10	11	11	10
(null)	129	8	9	9	8	8	7	8	17	19	8	11	10
(null)	130	14	6	11	9	8	12	10	11	8	13	11	8
(null)	131	10	10	10	10	9	9	11	10	12	9	10	10
(null)	132	11	10	9	10	10	9	10	10	10	10	10	10
(null)	133	1	2	8	3	4	11	26	35	2	12	8	7
(null)	134	10	9	10	10	10	10	9	11	9	10	10	10
(null)	135	11	11	10	10	9	9	9	10	9	12	9	9
(null)	136	10	9	9	10	10	9	9	10	11	10	10	11
(null)	137	11	8	11	11	11	9	10	9	10	10	10	8
(null)	138	8	1	5	9	0	6	2	19	23	2	16	24
(null)	139	7	9	9	9	9	10	9	12	10	10	10	10
(null)	140	9	7	10	9	10	12	11	9	8	9	10	9
(null)	141	12	9	8	10	9	11	10	11	9	8	7	9
(null)	142	12	11	14	9	10	8	5	5	4	9	16	9
(null)	143	8	8	8	9	8	11	12	11	9	9	9	10
(null)	144	9	9	9	9	7	9	9	11	11	10	9	10
(null)	145	38	6	10	8	7	8	6	4	4	4	8	8
(null)	146	32	2	11	7	1	8	2	3	6	5	17	17
(null)	147	12	10	9	8	10	11	10	9	6	9	8	9
(null)	148	9	6	9	8	9	7	8	11	15	9	11	8
(null)	149	10	11	11	13	10	9	9	7	8	6	8	8
(null)	150	4	6	9	9	6	12	12	8	3	20	9	11
(null)	151	9	8	9	9	10	9	8	8	8	10	10	10
(null)	152	8	9	10	9	9	8	8	9	11	10	8	8
(null)	153	10	7	8	8	8	8	8	9	10	6	8	17
(null)	154	8	8	9	9	9	8	9	9	10	9	9	9
(null)	155	1	2	8	20	1	11	25	10	5	12	3	8
(null)	156	8	8	9	9	9	8	9	9	10	9	9	9
(null)	157	6	6	12	11	8	13	10	8	7	9	7	9
(null)	158	10	10	9	9	9	8	9	10	10	7	7	7
(null)	159	7	9	10	9	9	7	10	9	8	9	9	8
(null)	160	9	7	7	8	8	10	9	10	9	8	9	9
(null)	161	1	0	8	12	7	17	28	13	6	9	1	1
(null)	162	15	8	7	9	5	9	9	8	8	8	8	9
(null)	163	11	19	6	5	4	11	7	7	5	4	5	18
(null)	164	9	7	8	7	9	8	8	8	8	14	9	7
(null)	165	5	8	8	8	8	7	8	12	8	10	9	10
(null)	166	9	9	9	8	8	9	8	8	9	7	7	9
(null)	167	8	9	9	8	9	7	7	8	9	9	9	8
(null)	168	9	9	8	8	7	7	7	8	8	9	9	11
(null)	169	8	8	7	9	8	5	7	13	10	6	5	14
(null)	170	28	7	3	7	8	17	3	6	7	5	5	3
(null)	171	8	8	8	8	9	8	7	8	8	9	10	8
(null)	172	6	6	11	6	5	15	17	9	8	5	5	6
(null)	173	21	13	7	4	6	9	4	7	17	2	2	7
(null)	174	5	5	6	6	5	4	6	6	7	11	18	19
(null)	175	7	7	8	8	9	8	11	9	8	8	8	7
(null)	176	10	8	9	8	8	7	8	8	8	8	8	8
(null)	177	9	8	8	8	9	8	8	7	9	8	8	8
(null)	178	8	7	8	8	6	8	8	9	9	9	9	8
(null)	179	25	11	22	10	2	11	9	1	1	1	2	2
(null)	180	7	8	10	8	7	10	10	8	7	8	7	7
(null)	181	12	11	17	6	13	9	10	1	2	5	3	7
(null)	182	6	7	8	8	7	9	10	7	8	7	11	8
(null)	183	8	9	8	8	9	6	9	8	8	9	5	8
(null)	184	8	7	7	8	8	8	8	8	8	8	8	8
(null)	185	2	1	3	12	2	15	21	17	4	13	3	1
(null)	186	6	8	8	8	9	7	8	8	6	10	8	8
(null)	187	8	8	9	7	10	8	7	7	7	7	9	7
(null)	188	16	6	6	7	6	7	8	7	6	9	7	8
(null)	189	7	8	8	7	8	8	9	8	8	8	7	7
(null)	190	7	6	9	7	6	11	8	9	9	6	6	8
(null)	191	6	8	8	8	8	7	8	8	8	7	8	8
(null)	192	7	7	7	5	4	7	7	8	12	8	4	16
(null)	193	6	7	7	8	8	9	10	7	7	9	7	7
(null)	194	9	13	10	12	8	13	11	4	2	1	5	4
(null)	195	8	6	8	8	8	6	7	8	8	8	8	8
(null)	196	8	8	7	8	7	9	7	11	11	5	6	4
(null)	197	8	8	7	8	8	8	7	7	6	8	7	8
(null)	198	7	6	6	6	7	9	11	7	7	9	8	7
(null)	199	1	3	3	0	2	2	1	0	0	0	78	0
(null)	200	4	5	6	7	4	8	28	7	7	4	5	5
(null)	201	12	6	6	9	7	11	7	7	5	6	7	7
(null)	202	9	5	8	6	5	8	9	6	8	11	4	10
(null)	203	10	7	7	7	7	6	7	8	8	7	7	7
(null)	204	9	7	7	7	7	7	8	7	7	8	7	7
(null)	205	1	2	12	15	1	8	25	1	1	15	6	1
(null)	206	7	7	6	7	7	7	8	9	8	7	7	7
(null)	207	7	7	8	7	7	8	7	8	7	8	6	7
(null)	208	9	7	9	7	7	7	6	7	6	9	7	6
(null)	209	7	6	6	6	6	7	6	11	9	8	8	7
(null)	210	6	6	8	7	7	7	7	7	9	8	7	7
(null)	211	7	7	7	7	7	8	7	8	7	7	7	7
